TIPO_ARCHIVO|ARCHIVO|SENTENCIA_DML|ESQUEMA_OUTPUT|TABLA_OUTPUT|ESQUEMA_INPUT|TABLA_INPUT
Vistas|SQLAExport1451.txt|REPLACE VIEW|ARMVIEWS|RMU_VENTA_CON_WDT_A_1170731|ARMVIEWS|RMJ_CLT_ACCOUNT
Vistas|SQLAExport1451.txt|REPLACE VIEW|ARMVIEWS|RMU_VENTA_CON_WDT_A_1170731|ARMVIEWS|RMR_CLT_ACC_PROD_PROD_A
Vistas|SQLAExport1452.txt|REPLACE VIEW|ARMVIEWS|RMA_TCR_RECOLOCA_CLUSTER|ARMVIEWS|RMU_TCR_RECOLOCA_CHK
Vistas|SQLAExport1453.txt|REPLACE VIEW|ARMVIEWS|RMS_ENVIO_RIESGO2_A|ARMWORK|RMM_ENVIORIESGO2
Vistas|SQLAExport1454.txt|REPLACE VIEW|ARMVIEWS|D_RMS_CRM_PYME_MARGEN_CMX_DMC_A|ARMVIEWS|RMU_CRM_PYME_MARGEN_DISP_A
Vistas|SQLAExport1454.txt|REPLACE VIEW|ARMVIEWS|D_RMS_CRM_PYME_MARGEN_CMX_DMC_A|EDW_VW|CAM
Vistas|SQLAExport1454.txt|REPLACE VIEW|ARMVIEWS|D_RMS_CRM_PYME_MARGEN_CMX_DMC_A|ARMVIEWS|RMU_CRM_PYME_MARGEN_DISP
Vistas|SQLAExport1455.txt|REPLACE VIEW|ARMVIEWS|RMR_CLT_PTY_SUC_INT_INV_A|ARMVIEWS|RMU_EJECUTIVOS_INTEGRA_INV_A
Vistas|SQLAExport1455.txt|REPLACE VIEW|ARMVIEWS|RMR_CLT_PTY_SUC_INT_INV_A|ARMVIEWS|RMJ_SUC_SUCURSAL
Vistas|SQLAExport1456.txt|REPLACE VIEW|ARMVIEWS|RMR_CLT_PTY_GEO_COM_DP_A|EDW_VW|PARTY_ADDRESS_HIST
Vistas|SQLAExport1456.txt|REPLACE VIEW|ARMVIEWS|RMR_CLT_PTY_GEO_COM_DP_A|EDW_VW|ADDRESS_USAGE
Vistas|SQLAExport1457.txt|REPLACE VIEW|ARMVIEWS|RMS_RET_PROD_LKG_P_DMC_A_180810|ARMVIEWS|RMA_EVT_CRM_NOPRI_D
Vistas|SQLAExport1457.txt|REPLACE VIEW|ARMVIEWS|RMS_RET_PROD_LKG_P_DMC_A_180810|ARMVIEWS|RMJ_CLT_PARTY
Vistas|SQLAExport1457.txt|REPLACE VIEW|ARMVIEWS|RMS_RET_PROD_LKG_P_DMC_A_180810|ARMVIEWS|RMR_CLT_PTY_SUC_SUC_OC_A
Vistas|SQLAExport1457.txt|REPLACE VIEW|ARMVIEWS|RMS_RET_PROD_LKG_P_DMC_A_180810|ARMVIEWS|RMJ_SUC_SUCURSAL
Vistas|SQLAExport1458.txt|REPLACE VIEW|ARMVIEWS|RMS_SCG_A|armcust|lh_realized_lead
Vistas|SQLAExport1459.txt|REPLACE VIEW|ARMVIEWS|D_RMS_DMC_CRM_PYME_NOMBRES_A|ARMOUT|D_CRM_PYME_REPOSITORIO_OFERTAS
Vistas|SQLAExport146.txt|REPLACE VIEW|ARMVIEWS|RMJ_PROS_ACCOUNT_VENDER|ARMCUST|RMU_PROSPECTS
Vistas|SQLAExport146.txt|REPLACE VIEW|ARMVIEWS|RMJ_PROS_ACCOUNT_VENDER|Edm_CorePrspct_Vw|Prospecto
Vistas|SQLAExport146.txt|REPLACE VIEW|ARMVIEWS|RMJ_PROS_ACCOUNT_VENDER|ARMWORK|RMJ_CLT_ACCOUNT_TACTICAL_A
Vistas|SQLAExport146.txt|REPLACE VIEW|ARMVIEWS|RMJ_PROS_ACCOUNT_VENDER|ARMINP|RME_TABLON_CAMPANA_PLN_M
Vistas|SQLAExport146.txt|REPLACE VIEW|ARMVIEWS|RMJ_PROS_ACCOUNT_VENDER|BCIMKT|PRP_PROSPECTO
Vistas|SQLAExport146.txt|REPLACE VIEW|ARMVIEWS|RMJ_PROS_ACCOUNT_VENDER|MKT_JOURNEY_TB|CRMPYME_HAZTE_CLIENTE
